"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"2","0.000000","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"3","0.000745","35.217.37.16","192.168.3.2","UDP","361","50004  >  63452 Len=319"
"4","0.001647","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=1 Ack=1 Win=1024 Len=3"
"5","0.010502","35.217.37.16","192.168.3.2","UDP","423","50004  >  63452 Len=381"
"6","0.011053","107.161.154.161","192.168.3.2","TCP","435","25941  >  55851 [PSH, ACK] Seq=1 Ack=4294967294 Win=774 Len=381"
"7","0.013853","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"8","0.014533","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"9","0.015294","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"10","0.015490","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"11","0.016293","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"12","0.016504","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"13","0.016923","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"14","0.017787","35.217.37.16","192.168.3.2","UDP","1036","50004  >  63452 Len=994"
"15","0.020199","192.168.3.2","35.217.37.16","UDP","102","63452  >  50004 Len=60"
"16","0.030654","35.217.37.16","192.168.3.2","UDP","438","50004  >  63452 Len=396"
"17","0.031695","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"18","0.031999","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"19","0.032966","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"20","0.032966","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"21","0.034488","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"22","0.034623","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"23","0.034745","35.217.37.16","192.168.3.2","UDP","501","50004  >  63452 Len=459"
"24","0.049006","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"25","0.049301","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"26","0.049301","35.217.37.16","192.168.3.2","UDP","427","50004  >  63452 Len=385"
"27","0.049920","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"28","0.051153","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"29","0.051153","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"30","0.051242","35.217.37.16","192.168.3.2","UDP","979","50004  >  63452 Len=937"
"31","0.053996","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=382 Ack=4 Win=774 Len=0"
"32","0.056053","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=4 Ack=382 Win=1022 Len=0"
"33","0.060139","107.161.154.161","192.168.3.2","TCP","284","25941  >  55851 [PSH, ACK] Seq=382 Ack=4 Win=774 Len=230"
"34","0.064532","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"35","0.065335","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"36","0.066275","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"37","0.066275","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"38","0.067088","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"39","0.067161","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"40","0.067288","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"41","0.068026","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"42","0.068201","35.217.37.16","192.168.3.2","UDP","1134","50004  >  63452 Len=1092"
"43","0.071460","35.217.37.16","192.168.3.2","UDP","410","50004  >  63452 Len=368"
"44","0.071674","192.168.3.2","35.217.37.16","UDP","106","63452  >  50004 Len=64"
"45","0.081174","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"46","0.081347","192.168.3.2","35.217.37.16","UDP","50","63452  >  50004 Len=8"
"47","0.081431","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"48","0.081969","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"49","0.082928","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"50","0.082928","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"51","0.083880","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"52","0.084047","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"53","0.084133","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"54","0.084958","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"55","0.084958","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"56","0.085949","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"57","0.085949","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"58","0.086060","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"59","0.086717","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"60","0.086805","35.217.37.16","192.168.3.2","UDP","880","50004  >  63452 Len=838"
"61","0.091403","35.217.37.16","192.168.3.2","UDP","428","50004  >  63452 Len=386"
"62","0.098388","35.217.37.16","192.168.3.2","UDP","875","50004  >  63452 Len=833"
"63","0.099710","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=4 Ack=612 Win=1021 Len=3"
"64","0.100223","192.168.3.2","107.161.154.161","TCP","82","55851  >  25941 [PSH, ACK] Seq=7 Ack=612 Win=1021 Len=28"
"65","0.101676","192.168.3.2","107.161.154.161","TCP","57","55851  >  25941 [PSH, ACK] Seq=35 Ack=612 Win=1021 Len=3"
"66","0.109477","35.217.37.16","192.168.3.2","UDP","418","50004  >  63452 Len=376"
"67","0.111833","107.161.154.161","192.168.3.2","TCP","455","25941  >  55851 [PSH, ACK] Seq=612 Ack=4 Win=774 Len=401"
"68","0.111856","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=38 Ack=1013 Win=1025 Len=0"
"69","0.114364","35.217.37.16","192.168.3.2","UDP","811","50004  >  63452 Len=769"
"70","0.122342","192.168.3.2","35.217.37.16","UDP","102","63452  >  50004 Len=60"
"71","0.127418","35.217.37.16","192.168.3.2","UDP","60","50004  >  63452 Len=8"
"72","0.130937","35.217.37.16","192.168.3.2","UDP","423","50004  >  63452 Len=381"
"73","0.131984","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"74","0.133233","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"75","0.133401","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"76","0.133860","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"77","0.133860","35.217.37.16","192.168.3.2","UDP","148","50004  >  63452 Len=106"
"78","0.148254","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"79","0.148323","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"80","0.148712","35.217.37.16","192.168.3.2","UDP","400","50004  >  63452 Len=358"
"81","0.148981","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"82","0.149866","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"83","0.149866","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"84","0.149966","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"85","0.150768","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"86","0.150961","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"87","0.151258","107.161.154.161","192.168.3.2","TCP","60","25941  >  55851 [ACK] Seq=1013 Ack=35 Win=774 Len=0"
"88","0.152733","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"89","0.152928","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"90","0.153016","35.217.37.16","192.168.3.2","UDP","360","50004  >  63452 Len=318"
"91","0.160156","107.161.154.161","192.168.3.2","TCP","346","25941  >  55851 [PSH, ACK] Seq=1013 Ack=38 Win=774 Len=292"
"92","0.160197","192.168.3.2","107.161.154.161","TCP","54","55851  >  25941 [ACK] Seq=38 Ack=1305 Win=1024 Len=0"
"93","0.165375","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"94","0.165999","35.217.37.16","192.168.3.2","UDP","981","50004  >  63452 Len=939"
"95","0.170573","35.217.37.16","192.168.3.2","UDP","380","50004  >  63452 Len=338"
"96","0.174066","192.168.3.2","35.217.37.16","UDP","102","63452  >  50004 Len=60"
"97","0.181241","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"98","0.182256","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
"99","0.182379","35.217.37.16","192.168.3.2","UDP","1257","50004  >  63452 Len=1215"
