title;link;vendorCode;img;price;score
"DJI Mavic Mini 2 Fly More Combo";"https://www.wildberries.ru/catalog/287147837/detail.aspx";"287147837";"https://basket-18.wbbasket.ru/vol2871/part287147/287147837/images/c246x328/1.webp";"65799";"4"
"DJI Mini 4 Pro Fly More Combo Plus RC 2";"https://www.wildberries.ru/catalog/376312572/detail.aspx";"376312572";"https://basket-22.wbbasket.ru/vol3763/part376312/376312572/images/c246x328/1.webp";"123 300";"4"
"DJI Mini 4K Combo";"https://www.wildberries.ru/catalog/269759256/detail.aspx";"269759256";"https://basket-17.wbbasket.ru/vol2697/part269759/269759256/images/c246x328/1.webp";"53 669";"4"
"DJI Avata 2 Fly More Combo с очками Goggles 3";"https://www.wildberries.ru/catalog/238825740/detail.aspx";"238825740";"https://basket-15.wbbasket.ru/vol2388/part238825/238825740/images/c246x328/1.webp";"122 990";"4"
"DJI Mini 4K";"https://www.wildberries.ru/catalog/376372315/detail.aspx";"376372315";"https://basket-22.wbbasket.ru/vol3763/part376372/376372315/images/c246x328/1.webp";"46 569";"4"
"Neo (No RC)";"https://www.wildberries.ru/catalog/296079621/detail.aspx";"296079621";"https://basket-18.wbbasket.ru/vol2960/part296079/296079621/images/c246x328/1.webp";"26 472";"5"
"Mavic 3 Fly More Combo пульт без экрана";"https://www.wildberries.ru/catalog/268639886/detail.aspx";"268639886";"https://basket-17.wbbasket.ru/vol2686/part268639/268639886/images/c246x328/1.webp";"323 235";"5"
"DJI Mavic 3 T (Thermal с тепловизором)";"https://www.wildberries.ru/catalog/249210260/detail.aspx";"249210260";"https://basket-16.wbbasket.ru/vol2492/part249210/249210260/images/c246x328/1.webp";"831 600";"5"
"Mavic 3 Pro (RC) пульт с экраном";"https://www.wildberries.ru/catalog/246512873/detail.aspx";"246512873";"https://basket-16.wbbasket.ru/vol2465/part246512/246512873/images/c246x328/1.webp";"242 550 ₽";"5"
"NEO DJI";"https://www.wildberries.ru/catalog/283621630/detail.aspx";"283621630";"https://basket-17.wbbasket.ru/vol2836/part283621/283621630/images/c246x328/1.webp";"65 527 ₽";"5"
"DJI Flip без пульта";"https://www.wildberries.ru/catalog/376297509/detail.aspx";"376297509";"https://basket-22.wbbasket.ru/vol3762/part376297/376297509/images/c246x328/1.webp";"51 051 ₽";""
"DJI Mini-3";"https://www.wildberries.ru/catalog/141253777/detail.aspx";"141253777";"https://basket-10.wbbasket.ru/vol1412/part141253/141253777/images/c246x328/1.webp";"58 520 ₽";"5"
"S109 PRO, GPS/Глонасс, 2 камеры 8K/HD";"https://www.wildberries.ru/catalog/233412442/detail.aspx";"233412442";"https://basket-15.wbbasket.ru/vol2334/part233412/233412442/images/c246x328/1.webp";"14 742 ₽";"4"
"DJI Mavic 3 Cine Premium Combo (Only Dron)";"https://www.wildberries.ru/catalog/327259244/detail.aspx";"327259244";"https://basket-20.wbbasket.ru/vol3272/part327259/327259244/images/c246x328/1.webp";"372 735 ₽";""
"DJI Mini 4K";"https://www.wildberries.ru/catalog/235005900/detail.aspx";"235005900";"https://basket-15.wbbasket.ru/vol2350/part235005/235005900/images/c246x328/1.webp";"44 928 ₽";"4"
